region,title,view_num,danmu,upload_time,up_author,bvid,video_url
热点,俄乌谈判正式开始 白俄外交部长致辞：真心希望你们双方达成共识,9.5万,39,2022-02-28,青蜂侠-Bee,BV1k34y1k7kY,www.bilibili.com/video/BV1k34y1k7kY?from=search
热点,乌克兰军方发布俄乌空战视频声称击落Su-35 网友看后说“造假”,13.0万,21,2022-02-25,青蜂侠-Bee,BV1dm4y197Cb,www.bilibili.com/video/BV1dm4y197Cb?from=search
热点,俄乌局势如何发展到今天？,48.7万,491,2022-02-24,观视频工作室,BV1H44y1n7zV,www.bilibili.com/video/BV1H44y1n7zV?from=search
热点,拱火俄乌成功后，拜登：冻结俄罗斯在美所有资产,6.5万,143,2022-02-25,青蜂侠-Bee,BV1cY411G7ix,www.bilibili.com/video/BV1cY411G7ix?from=search
社会,我不是政客！切尔西主帅被连续逼问俄乌问题，当场发飙拍桌怼记者,2.4万,9,2022-03-03,star星视频,BV1yY411G7VA,www.bilibili.com/video/BV1yY411G7VA?from=search
社科·法律·心理,观棋有语208：普京的最低消费要见底了,45.1万,473,2022-03-01,席亚洲,BV19Z4y167sX,www.bilibili.com/video/BV19Z4y167sX?from=search
环球,战斗现场！乌军郊区伏击俄装甲车，乌士兵手持英国援助武器，周围激战继续,27.6万,75,2022-02-27,环球网,BV1Ci4y1279B,www.bilibili.com/video/BV1Ci4y1279B?from=search
社会,俄乌开火现场，火光照亮夜空,4.5万,13,2022-02-24,财联社CC新闻,BV1FY411G7gk,www.bilibili.com/video/BV1FY411G7gk?from=search
日常,俄乌冲突线上版（俄罗斯国家馆）,1.0万,2,2022-03-02,小小虎三,BV13q4y147TM,www.bilibili.com/video/BV13q4y147TM?from=search
社科·法律·心理,美国退休干部团窜访台湾，警惕俄乌冲突与台湾问题捆绑！,1.1万,36,2022-03-03,储殷教授,BV1KU4y1f7Ua,www.bilibili.com/video/BV1KU4y1f7Ua?from=search
综合,【俄乌局势地图】乌克兰2.24-3.01,1.3万,12,2022-03-02,油管偷渡小生,BV1XU4y1Z7JA,www.bilibili.com/video/BV1XU4y1Z7JA?from=search
环球,因俄乌问题发生激烈争吵，乌克兰记者与议员在电视直播中互殴,26.1万,138,2022-02-19,四川观察,BV1Gi4y127mR,www.bilibili.com/video/BV1Gi4y127mR?from=search
热点,现场视频：乌军与俄军在苏梅激烈交火,12.3万,65,2022-02-25,CGTN,BV1ra411C7Hh,www.bilibili.com/video/BV1ra411C7Hh?from=search
环球,俄国防部：对乌行动中489人死亡,3.9万,27,2022-03-03,看看新闻Knews,BV1bR4y1579e,www.bilibili.com/video/BV1bR4y1579e?from=search
人文历史,俄乌之战一触即发？生与死 乌克兰站在了命运的十字路口？【牧杂谈】,63.6万,3371,2022-01-20,小牧phenix,BV1ou411y7xU,www.bilibili.com/video/BV1ou411y7xU?from=search
